name,g_map,post_code,address1,address2,tel,jsog_code,senkoishido,fujinkashuyo,shusanki,ivf,hai_ranshi_toketsu,kenbijusei,social_ranshitoketsu,teikyoseishi_aih,pgt,jis_art,japco,yomigana,current_status,prefecture_id,city_id
日鋼記念病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2950.2601632393107!2d140.98324861504682!3d42.31564944589842!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f9fd07314e1d0cf%3A0xbb00e3b934a5ded0!2z56S-5Lya5Yy755mC5rOV5Lq65q-N5oGLIOaXpemLvOiomOW_teeXhemZog!5e0!3m2!1sja!2sjp!4v1606357012532!5m2!1sja!2sjp,518501,新富町1-5-13,,0143-24-1331,10016,1,0,0,0,0,0,0,0,0,0,0,ニッコウキネンビョウイン,0,1,14
苫小牧市立病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2934.457156227824!2d141.6007534150582!3d42.65166682462923!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f75174d22e291a5%3A0x8d2fb1230d78ad43!2z6Iur5bCP54mn5biC56uL55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606357031597!5m2!1sja!2sjp,538567,清水町1-5-20,,0144-33-3131,10017,1,1,0,0,0,0,0,0,0,0,0,トマコマイシリツビョウイン,0,1,22
岩城産婦人科,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2934.8227284910827!2d141.60135311505783!3d42.64391792512126!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f7510b6480ce52d%3A0x24ab69481108e5f5!2z5bKp5Z-O55Sj5amm5Lq656eR!5e0!3m2!1sja!2sjp!4v1606357057166!5m2!1sja!2sjp,530032,緑町1-21-1,,0144-38-3800,10018,0,0,0,1,1,1,0,0,0,0,0,イワキサンフジンカ,0,1,22
国家公務員共済組合連合会　斗南病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2914.8683089421816!2d141.34347221507204!3d43.06523719826892!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b299c20058025%3A0x32a415f4779f1044!2z5Zu95a625YWs5YuZ5ZOh5YWx5riI57WE5ZCI6YCj5ZCI5LyaIOaWl-WNl-eXhemZog!5e0!3m2!1sja!2sjp!4v1606357072230!5m2!1sja!2sjp,600004,北4条西7-3-8,,011-231-2121,10019,0,0,0,1,1,1,7,0,0,0,1,トナンビョウイン,0,1,1
神谷レディースクリニック,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2914.8507109124826!2d141.35124471507208!3d43.06560729824519!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b299ddfec3e0b%3A0x30bd4471112b6138!2z56We6LC344Os44OH44Kj44O844K544Kv44Oq44OL44OD44Kv!5e0!3m2!1sja!2sjp!4v1606357095258!5m2!1sja!2sjp,600003,北3条西2-2-1,日通札幌ビル2F,011-231-2722,10020,0,0,0,1,1,1,7,0,1,1,0,カミヤレディースクリニック,0,1,1
市立札幌病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2914.589122617717!2d141.3321753150723!3d43.07110839789329!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b29a669e71bc1%3A0x967139db4b7c434e!2z5biC56uL5pyt5bmM55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606357120615!5m2!1sja!2sjp,608604,北11条西13-1-1,,011-726-2211,10021,1,1,1,0,0,0,0,0,0,0,0,シリツサッポロビョウイン,0,1,1
JR札幌病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2914.8408633804806!2d141.35501861507208!3d43.06581439823203!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b2976a18d38d9%3A0xa3d66a6b221cae1c!2zSlLmnK3luYznl4XpmaI!5e0!3m2!1sja!2sjp!4v1606357152324!5m2!1sja!2sjp,600033,北3条東1,,011-208-7150,10022,0,1,0,0,0,0,0,0,0,0,0,ジェイアールサッポロビョウイン,0,1,1
札幌厚生病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2914.7597992943984!2d141.36708851507206!3d43.067519198122966!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b296fb9c473db%3A0x3c66222b48332b31!2zSkHljJfmtbfpgZPljprnlJ_pgKMg5pyt5bmM5Y6a55Sf55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606357167448!5m2!1sja!2sjp,600033,北3条東8-5,,011-261-5331,10023,0,1,1,1,1,1,7,0,0,0,0,サッポロコウセイビョウイン,0,1,1
NTT東日本札幌病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2915.342806006076!2d141.3323856150717!3d43.05525719890745!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b2993fb1ebea3%3A0xdd6fbfb031f38078!2zTlRU5p2x5pel5pys5pyt5bmM55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606357184647!5m2!1sja!2sjp,600061,南1条西15,,011-623-7000,10024,1,1,1,0,0,0,0,0,0,0,0,エヌティーティーヒガシニホンビョウイン,0,1,1
札幌医科大学,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2915.3438376317804!2d141.3306239150718!3d43.05523549890889!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x59b2e588eb1bdb19!2z5pyt5bmM5Yy756eR5aSn5a2m6ZmE5bGe55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606357210476!5m2!1sja!2sjp,608556,南1条西17,,011-611-2111,10025,1,1,1,1,1,1,7,0,0,0,1,サッポロイカダイガク,0,1,1
北海道大学,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4758.9166278742205!2d141.3380891660926!3d43.0778745911978!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x5a79a53a99f0aeb7!2z5YyX5rW36YGT5aSn5a2m55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606357240247!5m2!1sja!2sjp,600808,北8条西5,,011-716-2111,10027,1,1,1,1,1,1,0,0,0,0,0,ホッカイドウダイガク,0,1,2
KKR札幌医療センター,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2916.239226061143!2d141.3650383150711!3d43.0363979001137!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b2a3ed69fb313%3A0x40e5ed633013b187!2zS0tS5pyt5bmM5Yy755mC44K744Oz44K_44O8!5e0!3m2!1sja!2sjp!4v1606357255874!5m2!1sja!2sjp,620931,平岸1条6-3-40,,011-822-1811,10028,1,1,0,1,1,1,0,0,0,0,0,ケーケーアールサッポロイリョウ,0,1,5
美加レディースクリニック,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2916.6981676917335!2d141.36740531507084!3d43.02673990073103!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b2a69acb4664f%3A0x945a796d36d37e1c!2z576O5Yqg44Os44OH44Kj44O844K544Kv44Oq44OL44OD44Kv!5e0!3m2!1sja!2sjp!4v1606357272985!5m2!1sja!2sjp,620933,平岸3条13-5-21,南平岸ビル1～3階,011-833-7773,10029,0,0,0,1,1,1,0,0,0,0,1,ミカレディースクリニック,0,1,5
北海道病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d46661.93567139985!2d141.37974762245324!3d43.03362545087981!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b2a7277009d55%3A0x704eac4078fa3bb7!2zSkNITyDljJfmtbfpgZPnl4XpmaI!5e0!3m2!1sja!2sjp!4v1606357348199!5m2!1sja!2sjp,628618,中の島一条8-3-18,,011-831-5151,10030,1,0,1,0,0,0,0,0,0,0,0,ホッカイドウビョウイン,0,1,5
札幌東豊病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2913.926693514286!2d141.3706950150728!3d43.0850364970019!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b293a54b7120b%3A0xcd3631d029cb0b0e!2z5pyt5bmM5p2x6LGK55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606357372504!5m2!1sja!2sjp,650017,北17条東15-3-1,,011-704-3911,10033,0,0,0,1,1,1,0,0,0,0,0,サッポロトウホウビョウイン,0,1,3
天使病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2914.3385079030563!2d141.35537071507247!3d43.07637819755607!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b29117d73b6cf%3A0x7ee17107d1dc1686!2z5aSp5L2_55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606357401488!5m2!1sja!2sjp,658611,北12条東3-1-1,,011-711-0101,10034,1,1,1,0,0,0,0,0,0,0,0,テンシビョウイン,0,1,3
森産科婦人科病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2880.9989392119332!2d142.35979431509614!3d43.77288085270203!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0ce67346e703e9%3A0x55feccdf7ba96508!2z5qOu55Sj56eR5amm5Lq656eR55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606357418888!5m2!1sja!2sjp,700037,7条通7-左2,,0166-22-6125,10035,0,0,0,1,1,1,0,0,0,0,0,モリサンカフジンカビョウイン,0,1,13
旭川赤十字病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2881.155374556206!2d142.3461156150961!3d43.769633452912586!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0ce608b8f7f033%3A0xa3dc63cffb1a28e9!2z5pel5pys6LWk5Y2B5a2X56S-IOaXreW3nei1pOWNgeWtl-eXhemZog!5e0!3m2!1sja!2sjp!4v1606357438980!5m2!1sja!2sjp,708530,曙1条1-1-1,,0166-22-8111,10036,0,0,1,0,0,0,0,0,0,0,0,アサヒカワセキジュウジビョウイン,0,1,13
市立旭川病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2880.7495310935174!2d142.36391441509647!3d43.77805785236657!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0ce676ff78b647%3A0x8a9a3c9cf6eb7465!2z5biC56uL5pet5bed55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606361033237!5m2!1sja!2sjp,708610,金星町1-1-65,,0166-24-3181,10037,0,1,0,0,0,0,0,0,0,0,0,シリツアサヒカワビョウイン,0,1,13
旭川厚生病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2881.6754600996196!2d142.38271201509582!3d43.75883575361216!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0ce647a3f11fd7%3A0x20ebb98109a5b404!2z5pet5bed5Y6a55Sf55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606361054549!5m2!1sja!2sjp,788211,1条通24-111,,0166-33-7171,10038,1,1,1,0,0,0,0,0,0,0,0,アサヒカワコウセイビョウイン,0,1,13
みずうち産科婦人科,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2881.603780236598!2d142.39394241509584!3d43.76032405351582!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0ce64f8d975da9%3A0x4e2c749e7789bdc6!2z5pet5bed44Gu55Sj5amm5Lq656eR44Gq44KJ44G_44Ga44GG44Gh55Sj56eR5amm5Lq656eRIOS9k-WkluWPl-eyviDkuI3lpornl4c!5e0!3m2!1sja!2sjp!4v1606361072832!5m2!1sja!2sjp,788234,豊岡4条3-2-5,,0166-31-6713,10039,0,0,0,1,1,1,0,0,0,0,0,ミズウチサンカフジンカ,0,1,13
旭川医科大学,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2883.1470343134292!2d142.38357016509462!3d43.72827230559179!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0ce87500622a37%3A0xc65dc8ea62865c59!2z5pet5bed5Yy756eR5aSn5a2m55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606361095926!5m2!1sja!2sjp,788510,緑が丘東2条1-1-1,,0166-65-2111,10040,1,1,1,1,1,1,0,0,0,0,0,アサヒカワイカダイガク,0,1,13
医療法人社団慶愛病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2921.629960826797!2d143.20787001506733!3d42.92284455736744!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f73993c2260e7f3%3A0xebf7d68dcaf8019f!2z5oW25oSb55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606361145382!5m2!1sja!2sjp,800803,東3条南9-2,,0155-22-4188,10041,0,0,0,1,1,1,0,0,0,0,0,ケイアイビョウイン,0,1,16
帯広厚生病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2921.7930870956425!2d143.17884991506722!3d42.919404607586976!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f7399462fc3d3a7%3A0xac04ce61adedc765!2zSkHljJfmtbfpgZPljprnlJ_pgKMg5biv5bqD5Y6a55Sf55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606361165866!5m2!1sja!2sjp,800024,西14条南10-1,,0155-65-0101,10042,1,1,1,0,0,0,0,0,0,0,0,オビヒロコウセイビョウイン,0,1,16
釧路赤十字病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2917.8805606295687!2d144.37881721506997!3d43.001849502322095!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f72162ceed2140f%3A0x29a257ccf4312c93!2z6Yen6Lev6LWk5Y2B5a2X55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606361183809!5m2!1sja!2sjp,858512,新栄町21-14,,0154-22-7171,10043,1,1,1,0,0,0,0,0,0,0,0,クシロセキジュウジビョウイン,0,1,15
北見赤十字病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2879.2771588938876!2d143.89136001509735!3d43.808610150385945!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f6d571e339a1bad%3A0x84b248d944cc0949!2z5YyX6KaL6LWk5Y2B5a2X55eF6ZmiIOWMl-mkqA!5e0!3m2!1sja!2sjp!4v1606361201760!5m2!1sja!2sjp,908666,北6条東2,,0157-24-3115,10047,1,0,1,0,0,0,0,0,0,0,0,キタミセキジュウジビョウイン,0,1,17
名寄市立総合病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2853.1084917953776!2d142.44912111511607!3d44.348822415188785!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0d944c01ecf8dd%3A0xed23609e7e5e8434!2z5ZCN5a-E5biC56uL57eP5ZCI55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606361260735!5m2!1sja!2sjp,968511,西7条南8-1,,0165-43-3101,10048,1,0,0,0,0,0,0,0,0,0,0,ナヨロシリツソウゴウビョウイン,0,1,30
帯広協会病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2921.638418641737!2d143.21180431506724!3d42.922666207378846!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f73993dac8a06c9%3A0x7b99f5006ef3eb32!2z5biv5bqD5Y2U5Lya55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606361291107!5m2!1sja!2sjp,800805,東5条南9-2,,0155-22-6600,10052,1,0,0,0,0,0,0,0,0,0,0,オビヒロキョウカイビョウイン,0,1,16
産科・婦人科北見レディースクリニック,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d11517.470969150063!2d143.88954026977538!3d43.806731!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f6d571f31e710cd%3A0xf60baa02f3d86420!2z5YyX6KaL44Os44OH44Kj44O844K544Kv44Oq44OL44OD44Kv!5e0!3m2!1sja!2sjp!4v1606361315876!5m2!1sja!2sjp,900020,大通り東2-11-1,,0157-31-0303,10055,0,0,0,1,1,1,0,0,0,0,0,キタミレディースクリニック,0,1,17
王子総合病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2935.07775611249!2d141.6016058150578!3d42.638511525464445!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f7510c65989f575%3A0x3876fa24e234127c!2z5Yy755mC5rOV5Lq6IOeOi-WtkOe3j-WQiOeXhemZog!5e0!3m2!1sja!2sjp!4v1606361415095!5m2!1sja!2sjp,538506,若草町3-4-8,,0144-32-8111,10059,1,1,0,0,0,0,0,0,0,0,0,オウジソウゴウビョウイン,0,1,22
砂川市立病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2894.371749514053!2d141.90254831508668!3d43.4945798706918!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0ca04adc72e1dd%3A0xf0a6712701405afc!2z56CC5bed5biC56uL55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606361434627!5m2!1sja!2sjp,730196,西4条北3-1-1,,0125-54-2131,10069,1,0,0,0,0,0,0,0,0,0,0,スナガワシリツビョウイン,0,1,35
白石産科婦人科病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2915.6771924685!2d141.39618141507148!3d43.04822299935738!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b2bc7cdc011c9%3A0xb59727b9b8ccc633!2z5pyt5bmM55m955-z55Sj56eR5amm5Lq656eR55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606361453778!5m2!1sja!2sjp,30005,東札幌5条6-6-28,,011-862-7211,10072,0,0,0,1,1,0,0,0,0,0,0,シロイシサンカフジンカビョウイン,0,1,4
医療法人社団のぞみ会レディースクリニックぬまのはた,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2933.3630297557966!2d141.68576571505892!3d42.67485182315678!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f751bdac701aaad%3A0x18fef333110ac873!2z44CSMDU5LTEzMDQg5YyX5rW36YGT6Iur5bCP54mn5biC5YyX5qCE55S677yS5LiB55uu77yS77yX4oiS77yX!5e0!3m2!1sja!2sjp!4v1606361636928!5m2!1sja!2sjp,591304,北栄町2-27-7,,0144-53-0303,10073,0,0,0,1,1,1,0,0,0,0,0,レディースクリニックヌマノハタ,0,1,22
おおこうち産科婦人科,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2915.2518929427483!2d141.3435970150719!3d43.057169498785!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b299abaeedd81%3A0xc1c3eae74cbbe50!2z5Yy755mC5rOV5Lq656S-5ZujIOWwj-WFreODoeODh-OCo-OCq-ODq-OCr-ODquODi-ODg-OCryDjgYrjgYrjgZPjgYbjgaHnlKPnp5Hlqabkurrnp5E!5e0!3m2!1sja!2sjp!4v1606361672806!5m2!1sja!2sjp,600062,南2条西8-10,,011-233-4103,10074,0,0,0,1,1,1,0,0,0,0,0,オオコウチサンカフジンカ,0,1,1
セントベビークリニック,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2914.965221932189!2d141.35129251507198!3d43.063198998399294!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b299c9eca0507%3A0x9fb233b0669b451!2z44K744Oz44OI44OZ44OT44O844Kv44Oq44OL44OD44Kv!5e0!3m2!1sja!2sjp!4v1606361692657!5m2!1sja!2sjp,600001,北1条西2-1,札幌時計台ビル2階,011-215-0880,10076,0,0,0,1,1,1,0,0,0,0,0,セントベビークリニック,0,1,1
中村記念愛成病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2914.965221932189!2d141.35129251507198!3d43.063198998399294!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b299c9eca0507%3A0x9fb233b0669b451!2z44K744Oz44OI44OZ44OT44O844Kv44Oq44OL44OD44Kv!5e0!3m2!1sja!2sjp!4v1606361692657!5m2!1sja!2sjp,900051,高栄東町4-20-1,,0157-24-8131,10077,0,0,0,1,1,1,0,0,0,0,0,ナカムラキネンアイセイビョウイン,0,1,17
医療法人社団卵会とまこまいレディースクリニック,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2935.572891863537!2d141.57567701505747!3d42.62801342613078!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f751125d33283fd%3A0xf89a7b65a53338cd!2z44Go44G-44GT44G-44GE44Os44OH44Kj44O844K544Kv44Oq44OL44OD44Kv!5e0!3m2!1sja!2sjp!4v1606361727393!5m2!1sja!2sjp,530802,弥生町2-12-5,,0144-73-5353,10078,0,0,0,1,1,1,0,0,0,0,0,トマコマイレディースクリニック,0,1,22
